,age,time_since_last_disturbance,last_disturbance_type,identifier,timestep,area,Species
0,30,30,1,1,0,6752.6,MF
1,50,50,1,2,0,26295.0,BL
2,20,20,1,3,0,44306.0,CF
3,31,31,1,1,1,6752.6,MF
4,51,51,1,2,1,26295.0,BL
5,21,1,2,3,1,22000.0,CF
6,21,21,1,4,1,22305.999999999996,CF
7,32,32,1,1,2,6752.6,MF
8,52,52,1,2,2,26295.0,BL
9,22,2,2,3,2,22000.0,CF
10,22,1,2,4,2,22000.0,CF
11,22,22,1,5,2,305.99999999999756,CF
12,33,33,1,1,3,6752.6,MF
13,53,53,1,2,3,26295.0,BL
14,23,1,2,3,3,21694.000000000004,CF
15,23,2,2,4,3,22000.0,CF
16,23,1,2,5,3,305.99999999999756,CF
17,23,3,2,6,3,305.9999999999967,CF
18,34,34,1,1,4,6752.6,MF
19,54,54,1,2,4,26295.0,BL
20,24,2,2,3,4,21694.000000000004,CF
21,24,1,2,4,4,21694.000000000004,CF
22,24,2,2,5,4,305.99999999999756,CF
23,24,1,2,6,4,305.9999999999967,CF
24,24,3,2,7,4,305.9999999999967,CF
25,35,35,1,1,5,6752.6,MF
26,55,55,1,2,5,26295.0,BL
27,25,1,2,3,5,21388.000000000007,CF
28,25,2,2,4,5,21694.000000000004,CF
29,25,1,2,5,5,305.99999999999756,CF
30,25,2,2,6,5,305.9999999999967,CF
31,25,1,2,7,5,305.9999999999967,CF
32,25,3,2,8,5,305.99999999999716,CF
33,36,36,1,1,6,6752.6,MF
34,56,56,1,2,6,26295.0,BL
35,26,2,2,3,6,21388.000000000007,CF
36,26,1,2,4,6,21388.000000000007,CF
37,26,2,2,5,6,305.99999999999756,CF
38,26,1,2,6,6,305.9999999999967,CF
39,26,2,2,7,6,305.9999999999967,CF
40,26,1,2,8,6,305.99999999999716,CF
41,26,3,2,9,6,305.99999999999716,CF
42,37,37,1,1,7,6752.6,MF
43,57,57,1,2,7,26295.0,BL
44,27,1,2,3,7,21082.000000000007,CF
45,27,2,2,4,7,21388.000000000007,CF
46,27,1,2,5,7,305.99999999999756,CF
47,27,2,2,6,7,305.9999999999967,CF
48,27,1,2,7,7,305.9999999999967,CF
49,27,2,2,8,7,305.99999999999716,CF
50,27,1,2,9,7,305.99999999999716,CF
51,27,3,2,10,7,305.9999999999996,CF
52,38,38,1,1,8,6752.6,MF
53,58,58,1,2,8,26295.0,BL
54,28,2,2,3,8,21082.000000000007,CF
55,28,1,2,4,8,21082.000000000007,CF
56,28,2,2,5,8,305.99999999999756,CF
57,28,1,2,6,8,305.9999999999967,CF
58,28,2,2,7,8,305.9999999999967,CF
59,28,1,2,8,8,305.99999999999716,CF
60,28,2,2,9,8,305.99999999999716,CF
61,28,1,2,10,8,305.9999999999996,CF
62,28,3,2,11,8,305.9999999999996,CF
63,39,39,1,1,9,6752.6,MF
64,59,59,1,2,9,26295.0,BL
65,29,1,2,3,9,20776.000000000007,CF
66,29,2,2,4,9,21082.000000000007,CF
67,29,1,2,5,9,305.99999999999756,CF
68,29,2,2,6,9,305.9999999999967,CF
69,29,1,2,7,9,305.9999999999967,CF
70,29,2,2,8,9,305.99999999999716,CF
71,29,1,2,9,9,305.99999999999716,CF
72,29,2,2,10,9,305.9999999999996,CF
73,29,1,2,11,9,305.9999999999996,CF
74,29,3,2,12,9,306.0,CF
75,40,40,1,1,10,6752.6,MF
76,60,60,1,2,10,26295.0,BL
77,30,2,2,3,10,20776.000000000007,CF
