,identifier,timestep,area,Species
0,1,0,6752.6,MF
1,2,0,26295.0,BL
2,3,0,44306.0,CF
3,1,1,6752.6,MF
4,2,1,26295.0,BL
5,3,1,22000.0,CF
6,4,1,22305.999999999996,CF
7,1,2,6752.6,MF
8,2,2,26295.0,BL
9,3,2,22000.0,CF
10,4,2,22000.0,CF
11,5,2,305.99999999999756,CF
12,1,3,6752.6,MF
13,2,3,26295.0,BL
14,3,3,21694.000000000004,CF
15,4,3,22000.0,CF
16,5,3,305.99999999999756,CF
17,6,3,305.9999999999967,CF
18,1,4,6752.6,MF
19,2,4,26295.0,BL
20,3,4,21694.000000000004,CF
21,4,4,21694.000000000004,CF
22,5,4,305.99999999999756,CF
23,6,4,305.9999999999967,CF
24,7,4,305.9999999999967,CF
25,1,5,6752.6,MF
26,2,5,26295.0,BL
27,3,5,21388.000000000007,CF
28,4,5,21694.000000000004,CF
29,5,5,305.99999999999756,CF
30,6,5,305.9999999999967,CF
31,7,5,305.9999999999967,CF
32,8,5,305.99999999999716,CF
33,1,6,6752.6,MF
34,2,6,26295.0,BL
35,3,6,21388.000000000007,CF
36,4,6,21388.000000000007,CF
37,5,6,305.99999999999756,CF
38,6,6,305.9999999999967,CF
39,7,6,305.9999999999967,CF
40,8,6,305.99999999999716,CF
41,9,6,305.99999999999716,CF
42,1,7,6752.6,MF
43,2,7,26295.0,BL
44,3,7,21082.000000000007,CF
45,4,7,21388.000000000007,CF
46,5,7,305.99999999999756,CF
47,6,7,305.9999999999967,CF
48,7,7,305.9999999999967,CF
49,8,7,305.99999999999716,CF
50,9,7,305.99999999999716,CF
51,10,7,305.9999999999996,CF
52,1,8,6752.6,MF
53,2,8,26295.0,BL
54,3,8,21082.000000000007,CF
55,4,8,21082.000000000007,CF
56,5,8,305.99999999999756,CF
57,6,8,305.9999999999967,CF
58,7,8,305.9999999999967,CF
59,8,8,305.99999999999716,CF
60,9,8,305.99999999999716,CF
61,10,8,305.9999999999996,CF
62,11,8,305.9999999999996,CF
63,1,9,6752.6,MF
64,2,9,26295.0,BL
65,3,9,20776.000000000007,CF
66,4,9,21082.000000000007,CF
67,5,9,305.99999999999756,CF
68,6,9,305.9999999999967,CF
69,7,9,305.9999999999967,CF
70,8,9,305.99999999999716,CF
71,9,9,305.99999999999716,CF
72,10,9,305.9999999999996,CF
73,11,9,305.9999999999996,CF
74,12,9,306.0,CF
75,1,10,6752.6,MF
76,2,10,26295.0,BL
77,3,10,20776.000000000007,CF
78,4,10,20776.000000000007,CF
79,5,10,305.99999999999756,CF
80,6,10,305.9999999999967,CF
81,7,10,305.9999999999967,CF
82,8,10,305.99999999999716,CF
83,9,10,305.99999999999716,CF
84,10,10,305.9999999999996,CF
85,11,10,305.9999999999996,CF
86,12,10,306.0,CF
87,13,10,306.0,CF
88,1,11,6752.6,MF
89,2,11,26295.0,BL
90,3,11,20470.000000000007,CF
91,4,11,20776.000000000007,CF
